"INDIKATOR_GRUPPE","INDIKATOR_BEZEICHNUNG","INDIKATOR_AUSPRAEGUNG","INDIKATOR_WERT","BASISWERT_1","BASISWERT_2","BASISWERT_3","BASISWERT_4","BASISWERT_5","NAME_BASISWERT_1","NAME_BASISWERT_2","NAME_BASISWERT_3","NAME_BASISWERT_4","NAME_BASISWERT_5","JAHR","GLIEDERUNG","NUMMER","NAME"
"Arbeitsmarkt","Arbeitslose","Deutsche","59,3","1237,5","2088,3","","","","deutsche Arbeitslose","alle Arbeitslosen","","","","2007","Stadtbezirk","24","24 Feldmoching - Hasenbergl"
"Arbeitsmarkt","Arbeitslose","über 55-Jährige","17,7","336,8","1906,3","","","","Arbeitslose über 55 Jahren","alle Arbeitslosen","","","","2007","Stadtbezirk","7","07 Sendling - Westpark"
"Arbeitsmarkt","Arbeitslose","über 55-Jährige","16,2","253,3","1564,3","","","","Arbeitslose über 55 Jahren","alle Arbeitslosen","","","","2007","Stadtbezirk","2","02 Ludwigsvorstadt - Isarvorstadt"
"Arbeitsmarkt","Arbeitslose","Männer","49,2","836,5","1699,8","","","","männliche Arbeitslose","alle Arbeitslosen","","","","2007","Stadtbezirk","12","12 Schwabing -  Freimann"
"Arbeitsmarkt","Arbeitslose","Männer","54,8","817,3","1492,3","","","","männliche Arbeitslose","alle Arbeitslosen","","","","2007","Stadtbezirk","14","14 Berg am Laim"
"Arbeitsmarkt","Arbeitslose","Männer","51,8","721,8","1394,3","","","","männliche Arbeitslose","alle Arbeitslosen","","","","2007","Stadtbezirk","6","06 Sendling"
"Arbeitsmarkt","Arbeitslose","Vollzeitarbeitssuchende","75","32702,3","43607","","","","Arbeitssuchende für eine Vollzeitbeschäftigung","alle Arbeitslosen","","","","2007","Gesamtstadt","#100","Stadt München"
"Arbeitsmarkt","Arbeitslose","Vollzeitarbeitssuchende","73,4","1025,8","1397","","","","Arbeitssuchende für eine Vollzeitbeschäftigung","alle Arbeitslosen","","","","2007","Stadtbezirk","3","03 Maxvorstadt"
"Arbeitsmarkt","Arbeitslose","Männer","49,9","785,3","1572,3","","","","männliche Arbeitslose","alle Arbeitslosen","","","","2007","Stadtbezirk","21","21 Pasing - Obermenzing"
"Arbeitsmarkt","Arbeitslose","Vollzeitarbeitssuchende","68,3","895","1310,3","","","","Arbeitssuchende für eine Vollzeitbeschäftigung","alle Arbeitslosen","","","","2007","Stadtbezirk","15","15 Trudering - Riem"
"Arbeitsmarkt","Arbeitslose","Teilzeitarbeitssuchende","15,8","675","4273,5","","","","Arbeitssuchende für eine Teilzeitbeschäftigung","alle Arbeitslosen","","","","2007","Stadtbezirk","16","16 Ramersdorf - Perlach"
"Arbeitsmarkt","Arbeitslose","Vollzeitarbeitssuchende","72,7","1517,3","2088,3","","","","Arbeitssuchende für eine Vollzeitbeschäftigung","alle Arbeitslosen","","","","2007","Stadtbezirk","24","24 Feldmoching - Hasenbergl"
"Arbeitsmarkt","Arbeitslose","Vollzeitarbeitssuchende","76,8","1267","1649","","","","Arbeitssuchende für eine Vollzeitbeschäftigung","alle Arbeitslosen","","","","2007","Stadtbezirk","25","25 Laim"
"Arbeitsmarkt","Arbeitslose","Deutsche","63,9","747,8","1170,5","","","","deutsche Arbeitslose","alle Arbeitslosen","","","","2007","Stadtbezirk","22","22 Aubing - Lochhausen - Langwied"
"Arbeitsmarkt","Arbeitslose","Männer","54,7","638","1165,8","","","","männliche Arbeitslose","alle Arbeitslosen","","","","2007","Stadtbezirk","8","08 Schwanthalerhöhe"
"Arbeitsmarkt","Arbeitslose","Männer","59,3","968","1633,5","","","","männliche Arbeitslose","alle Arbeitslosen","","","","2007","Stadtbezirk","18","18 Untergiesing - Harlaching"
"Arbeitsmarkt","Arbeitslose","Teilzeitarbeitssuchende","14,7","249,8","1699,8","","","","Arbeitssuchende für eine Teilzeitbeschäftigung","alle Arbeitslosen","","","","2007","Stadtbezirk","12","12 Schwabing -  Freimann"
"Arbeitsmarkt","Arbeitslose","Teilzeitarbeitssuchende","13,7","204","1492,3","","","","Arbeitssuchende für eine Teilzeitbeschäftigung","alle Arbeitslosen","","","","2007","Stadtbezirk","14","14 Berg am Laim"
"Arbeitsmarkt","Arbeitslose","Teilzeitarbeitssuchende","12,7","177","1394,3","","","","Arbeitssuchende für eine Teilzeitbeschäftigung","alle Arbeitslosen","","","","2007","Stadtbezirk","6","06 Sendling"
"Arbeitsmarkt","Arbeitslose","Vollzeitarbeitssuchende","76,3","1193,8","1564,3","","","","Arbeitssuchende für eine Vollzeitbeschäftigung","alle Arbeitslosen","","","","2007","Stadtbezirk","2","02 Ludwigsvorstadt - Isarvorstadt"
"Arbeitsmarkt","Arbeitslose","Männer","54,4","979,3","1801,3","","","","männliche Arbeitslose","alle Arbeitslosen","","","","2007","Stadtbezirk","17","17 Obergiesing - Fasangarten"
"Arbeitsmarkt","Arbeitslose","Männer","52,8","205,8","390","","","","männliche Arbeitslose","alle Arbeitslosen","","","","2007","Stadtbezirk","1","01 Altstadt - Lehel"
"Arbeitsmarkt","Arbeitslose","Ausländer/innen","38,8","1037","2669,3","","","","ausländische Arbeitslose","alle Arbeitslosen","","","","2001","Stadtbezirk","16","16 Ramersdorf - Perlach"
"Arbeitsmarkt","Arbeitslose","Männer","53,9","834,5","1548,3","","","","männliche Arbeitslose","alle Arbeitslosen","","","","2007","Stadtbezirk","5","05 Au - Haidhausen"
"Arbeitsmarkt","Arbeitslose","Vollzeitarbeitssuchende","77","1191,8","1548,3","","","","Arbeitssuchende für eine Vollzeitbeschäftigung","alle Arbeitslosen","","","","2007","Stadtbezirk","5","05 Au - Haidhausen"
"Arbeitsmarkt","Arbeitslose","Vollzeitarbeitssuchende","74,7","1424,3","1906,3","","","","Arbeitssuchende für eine Vollzeitbeschäftigung","alle Arbeitslosen","","","","2007","Stadtbezirk","7","07 Sendling - Westpark"
"Arbeitsmarkt","Arbeitslose","Männer","53,7","1601,8","2983","","","","männliche Arbeitslose","alle Arbeitslosen","","","","2007","Stadtbezirk","11","11 Milbertshofen -  Am Hart"
"Arbeitsmarkt","Arbeitslose","über 55-Jährige","14,7","192,8","1310,3","","","","Arbeitslose über 55 Jahren","alle Arbeitslosen","","","","2007","Stadtbezirk","15","15 Trudering - Riem"
"Arbeitsmarkt","Arbeitslose","über 55-Jährige","16,7","275,5","1649","","","","Arbeitslose über 55 Jahren","alle Arbeitslosen","","","","2007","Stadtbezirk","25","25 Laim"
"Arbeitsmarkt","Arbeitslose","Ausländer/innen","44,5","103,3","232","","","","ausländische Arbeitslose","alle Arbeitslosen","","","","2001","Stadtbezirk","99","99 nicht zuzuordnen"
