"INDIKATOR_GRUPPE","INDIKATOR_BEZEICHNUNG","INDIKATOR_AUSPRAEGUNG","INDIKATOR_WERT","BASISWERT_1","BASISWERT_2","BASISWERT_3","BASISWERT_4","BASISWERT_5","NAME_BASISWERT_1","NAME_BASISWERT_2","NAME_BASISWERT_3","NAME_BASISWERT_4","NAME_BASISWERT_5","JAHR","GLIEDERUNG","NUMMER","NAME"
"Arbeitsmarkt","Arbeitslosendichte","männlich","4,8","22710,5","471095,8","","","","männliche Arbeitslose","männliche Einwohner mit Hauptwohnsitz im Alter von 15 bis unter 65 Jahren","","","","2007","Gesamtstadt","#100","Stadt München"
"Arbeitsmarkt","Arbeitslosendichte","männlich","5,1","721,8","14062,5","","","","männliche Arbeitslose","männliche Einwohner mit Hauptwohnsitz im Alter von 15 bis unter 65 Jahren","","","","2007","Stadtbezirk","6","06 Sendling"
"Arbeitsmarkt","Arbeitslosendichte","männlich","3,8","831,8","21707","","","","männliche Arbeitslose","männliche Einwohner mit Hauptwohnsitz im Alter von 15 bis unter 65 Jahren","","","","2007","Stadtbezirk","4","04 Schwabing West"
"Arbeitsmarkt","Arbeitslosendichte","weiblich","6","977","16412","","","","weibliche Arbeitslose","weibliche Einwohner mit Hauptwohnsitz im Alter von 15 bis unter 65 Jahren","","","","2007","Stadtbezirk","10","10 Moosach"
"Arbeitsmarkt","Arbeitslosendichte","gesamt","2,7","390","14263,3","","","","alle Arbeitslosen","Einwohner mit Hauptwohnsitz im Alter von 15 bis unter 65 Jahren","","","","2007","Stadtbezirk","1","01 Altstadt - Lehel"
"Arbeitsmarkt","Arbeitslosendichte","gesamt","5","1394,3","27937","","","","alle Arbeitslosen","Einwohner mit Hauptwohnsitz im Alter von 15 bis unter 65 Jahren","","","","2007","Stadtbezirk","6","06 Sendling"
"Arbeitsmarkt","Arbeitslosendichte","gesamt","3,6","1620,3","45051,5","","","","alle Arbeitslosen","Einwohner mit Hauptwohnsitz im Alter von 15 bis unter 65 Jahren","","","","2007","Stadtbezirk","4","04 Schwabing West"
"Arbeitsmarkt","Arbeitslosendichte","männlich","6,4","1601,8","25125,3","","","","männliche Arbeitslose","männliche Einwohner mit Hauptwohnsitz im Alter von 15 bis unter 65 Jahren","","","","2007","Stadtbezirk","11","11 Milbertshofen -  Am Hart"
"Arbeitsmarkt","Arbeitslosendichte","weiblich","4,4","20896,5","473291","","","","weibliche Arbeitslose","weibliche Einwohner mit Hauptwohnsitz im Alter von 15 bis unter 65 Jahren","","","","2007","Gesamtstadt","#100","Stadt München"
"Arbeitsmarkt","Arbeitslosendichte","männlich","3,4","629,3","18743,5","","","","männliche Arbeitslose","männliche Einwohner mit Hauptwohnsitz im Alter von 15 bis unter 65 Jahren","","","","2007","Stadtbezirk","15","15 Trudering - Riem"
