"INDIKATOR_GRUPPE","INDIKATOR_BEZEICHNUNG","INDIKATOR_AUSPRAEGUNG","INDIKATOR_WERT","BASISWERT_1","BASISWERT_2","BASISWERT_3","BASISWERT_4","BASISWERT_5","NAME_BASISWERT_1","NAME_BASISWERT_2","NAME_BASISWERT_3","NAME_BASISWERT_4","NAME_BASISWERT_5","JAHR","GLIEDERUNG","NUMMER","NAME"
"Bevölkerung","Einpersonenhaushalte","Haushalte 30 bis 44 Jahre","33,3","5717","17153","","","","Einpersonen- Haushalte 30 bis 44 Jahre","Alle Einpersonenhaushalte 18 Jahre und älter","","","","2000","Stadtbezirk","18","18 Untergiesing - Harlaching"
"Bevölkerung","Einpersonenhaushalte","Haushalte 30 bis 44 Jahre","31,1","7027","22599","","","","Einpersonen- Haushalte 30 bis 44 Jahre","Alle Einpersonenhaushalte 18 Jahre und älter","","","","2000","Stadtbezirk","16","16 Ramersdorf - Perlach"
"Bevölkerung","Einpersonenhaushalte","Haushalte 30 bis 44 Jahre","33,7","6933","20574","","","","Einpersonen- Haushalte 30 bis 44 Jahre","Alle Einpersonenhaushalte 18 Jahre und älter","","","","2000","Stadtbezirk","12","12 Schwabing -  Freimann"
"Bevölkerung","Einpersonenhaushalte","Haushalte 30 bis 44 Jahre","32,6","3714","11407","","","","Einpersonen- Haushalte 30 bis 44 Jahre","Alle Einpersonenhaushalte 18 Jahre und älter","","","","2000","Stadtbezirk","14","14 Berg am Laim"
"Bevölkerung","Einpersonenhaushalte","Haushalte 30 bis 44 Jahre","35,4","3299","9327","","","","Einpersonen- Haushalte 30 bis 44 Jahre","Alle Einpersonenhaushalte 18 Jahre und älter","","","","2000","Stadtbezirk","8","08 Schwanthalerhöhe"
"Bevölkerung","Einpersonenhaushalte","Haushalte 30 bis 44 Jahre","31,2","5556","17833","","","","Einpersonen- Haushalte 30 bis 44 Jahre","Alle Einpersonenhaushalte 18 Jahre und älter","","","","2000","Stadtbezirk","11","11 Milbertshofen -  Am Hart"
"Bevölkerung","Einpersonenhaushalte","Haushalte 30 bis 44 Jahre","40,6","8602","21173","","","","Einpersonen- Haushalte 30 bis 44 Jahre","Alle Einpersonenhaushalte 18 Jahre und älter","","","","2000","Stadtbezirk","2","02 Ludwigsvorstadt - Isarvorstadt"
"Bevölkerung","Einpersonenhaushalte","Haushalte 30 bis 44 Jahre","33,4","8123","24329","","","","Einpersonen- Haushalte 30 bis 44 Jahre","Alle Einpersonenhaushalte 18 Jahre und älter","","","","2000","Stadtbezirk","4","04 Schwabing West"
"Bevölkerung","Einpersonenhaushalte","Haushalte 30 bis 44 Jahre","29,4","2848","9694","","","","Einpersonen- Haushalte 30 bis 44 Jahre","Alle Einpersonenhaushalte 18 Jahre und älter","","","","2000","Stadtbezirk","24","24 Feldmoching - Hasenbergl"
"Bevölkerung","Einpersonenhaushalte","Haushalte 30 bis 44 Jahre","31,3","7099","22675","","","","Einpersonen- Haushalte 30 bis 44 Jahre","Alle Einpersonenhaushalte 18 Jahre und älter","","","","2000","Stadtbezirk","19","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln"
"Bevölkerung","Einpersonenhaushalte","Haushalte 30 bis 44 Jahre","38,4","8263","21546","","","","Einpersonen- Haushalte 30 bis 44 Jahre","Alle Einpersonenhaushalte 18 Jahre und älter","","","","2000","Stadtbezirk","5","05 Au - Haidhausen"
"Bevölkerung","Einpersonenhaushalte","Haushalte 30 bis 44 Jahre","28,6","1866","6515","","","","Einpersonen- Haushalte 30 bis 44 Jahre","Alle Einpersonenhaushalte 18 Jahre und älter","","","","2000","Stadtbezirk","22","22 Aubing - Lochhausen - Langwied"
"Bevölkerung","Einpersonenhaushalte","Haushalte 30 bis 44 Jahre","30,8","5434","17637","","","","Einpersonen- Haushalte 30 bis 44 Jahre","Alle Einpersonenhaushalte 18 Jahre und älter","","","","2000","Stadtbezirk","25","25 Laim"
"Bevölkerung","Einpersonenhaushalte","Haushalte 30 bis 44 Jahre","36,1","3209","8895","","","","Einpersonen- Haushalte 30 bis 44 Jahre","Alle Einpersonenhaushalte 18 Jahre und älter","","","","2000","Stadtbezirk","1","01 Altstadt - Lehel"
"Bevölkerung","Einpersonenhaushalte","Haushalte 30 bis 44 Jahre","32","1624","5074","","","","Einpersonen- Haushalte 30 bis 44 Jahre","Alle Einpersonenhaushalte 18 Jahre und älter","","","","2000","Stadtbezirk","23","23 Allach - Untermenzing"
"Bevölkerung","Einpersonenhaushalte","Haushalte 30 bis 44 Jahre","33,3","4","12","","","","Einpersonen- Haushalte 30 bis 44 Jahre","Alle Einpersonenhaushalte 18 Jahre und älter","","","","2000","Stadtbezirk","99","99 nicht zuzuordnen"
"Bevölkerung","Einpersonenhaushalte","Haushalte 30 bis 44 Jahre","29,5","2720","9224","","","","Einpersonen- Haushalte 30 bis 44 Jahre","Alle Einpersonenhaushalte 18 Jahre und älter","","","","2000","Stadtbezirk","20","20 Hadern"
"Bevölkerung","Einpersonenhaushalte","Haushalte 30 bis 44 Jahre","37,8","3604","9524","","","","Einpersonen- Haushalte 30 bis 44 Jahre","Alle Einpersonenhaushalte 18 Jahre und älter","","","","2000","Stadtbezirk","15","15 Trudering - Riem"
