"INDIKATOR_GRUPPE","INDIKATOR_BEZEICHNUNG","INDIKATOR_AUSPRAEGUNG","INDIKATOR_WERT","BASISWERT_1","BASISWERT_2","BASISWERT_3","BASISWERT_4","BASISWERT_5","NAME_BASISWERT_1","NAME_BASISWERT_2","NAME_BASISWERT_3","NAME_BASISWERT_4","NAME_BASISWERT_5","JAHR","GLIEDERUNG","NUMMER","NAME"
"Verkehr","Personenwagendichte","privat","337,9","18660","55231","","","","privat zugelassene Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2004","Stadtbezirk","4","04 Schwabing West"
"Verkehr","Personenwagendichte","gesamt","349,2","17941","51383","","","","alle zugelassenen Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2004","Stadtbezirk","5","05 Au - Haidhausen"
"Verkehr","Personenwagendichte","gesamt","487","29026","59602","","","","alle zugelassenen Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2004","Stadtbezirk","12","12 Schwabing -  Freimann"
"Verkehr","Personenwagendichte","gesamt","613,2","44749","72982","","","","alle zugelassenen Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2004","Stadtbezirk","13","13 Bogenhausen"
"Verkehr","Personenwagendichte","privat","365","464748","1273186","","","","privat zugelassene Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2004","Gesamtstadt","#100","Stadt München"
"Verkehr","Personenwagendichte","gesamt","458","583146","1273186","","","","alle zugelassenen Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2004","Gesamtstadt","#100","Stadt München"
"Verkehr","Personenwagendichte","privat","271","6876","25369","","","","privat zugelassene Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2004","Stadtbezirk","8","08 Schwanthalerhöhe"
"Verkehr","Personenwagendichte","gesamt","378","9589","25369","","","","alle zugelassenen Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2004","Stadtbezirk","8","08 Schwanthalerhöhe"
"Verkehr","Personenwagendichte","gesamt","494,9","23190","46856","","","","alle zugelassenen Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2004","Stadtbezirk","10","10 Moosach"
"Verkehr","Personenwagendichte","gesamt","529,6","25903","48914","","","","alle zugelassenen Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2004","Stadtbezirk","15","15 Trudering - Riem"
