"INDIKATOR_GRUPPE","INDIKATOR_BEZEICHNUNG","INDIKATOR_AUSPRAEGUNG","INDIKATOR_WERT","BASISWERT_1","BASISWERT_2","BASISWERT_3","BASISWERT_4","BASISWERT_5","NAME_BASISWERT_1","NAME_BASISWERT_2","NAME_BASISWERT_3","NAME_BASISWERT_4","NAME_BASISWERT_5","JAHR","GLIEDERUNG","NUMMER","NAME"
"Wahlen","Wahlbeteiligung","Europawahl","34,9","8471","24307","","","","Wähler/innen bei der Europawahl","alle Wahlberechtigte","","","","2004","Stadtbezirk","14","14 Berg am Laim"
"Wahlen","Wahlbeteiligung","Europawahl","38,1","8616","22617","","","","Wähler/innen bei der Europawahl","alle Wahlberechtigte","","","","2004","Stadtbezirk","6","06 Sendling"
"Wahlen","Wahlbeteiligung","Europawahl","32","11053","34519","","","","Wähler/innen bei der Europawahl","alle Wahlberechtigte","","","","2004","Stadtbezirk","11","11 Milbertshofen - Am Hart"
"Wahlen","Wahlbeteiligung","Europawahl","35,8","10668","29762","","","","Wähler/innen bei der Europawahl","alle Wahlberechtigte","","","","2004","Stadtbezirk","10","10 Moosach"
"Wahlen","Wahlbeteiligung","Europawahl","40,2","11322","28154","","","","Wähler/innen bei der Europawahl","alle Wahlberechtigte","","","","2004","Stadtbezirk","3","03 Maxvorstadt"
"Wahlen","Wahlbeteiligung","Europawahl","38,3","14974","39046","","","","Wähler/innen bei der Europawahl","alle Wahlberechtigte","","","","2004","Stadtbezirk","12","12 Schwabing - Freimann"
"Wahlen","Wahlbeteiligung","Europawahl","41,1","21303","51779","","","","Wähler/innen bei der Europawahl","alle Wahlberechtigte","","","","2004","Stadtbezirk","13","13 Bogenhausen"
"Wahlen","Wahlbeteiligung","Europawahl","35,1","9786","27859","","","","Wähler/innen bei der Europawahl","alle Wahlberechtigte","","","","2004","Stadtbezirk","17","17 Obergiesing"
"Wahlen","Wahlbeteiligung","Europawahl","40,9","7571","18492","","","","Wähler/innen bei der Europawahl","alle Wahlberechtigte","","","","2004","Stadtbezirk","23","23 Allach - Untermenzing"
"Wahlen","Wahlbeteiligung","Europawahl","40,9","13525","33066","","","","Wähler/innen bei der Europawahl","alle Wahlberechtigte","","","","2004","Stadtbezirk","15","15 Trudering - Riem"
"Wahlen","Wahlbeteiligung","Europawahl","38,9","324737","835708","","","","Wähler/innen bei der Europawahl","alle Wahlberechtigte","","","","2004","Gesamtstadt","#100","Stadt München"
"Wahlen","Wahlbeteiligung","Europawahl","40,1","13668","34074","","","","Wähler/innen bei der Europawahl","alle Wahlberechtigte","","","","2004","Stadtbezirk","5","05 Au - Haidhausen"
"Wahlen","Wahlbeteiligung","Europawahl","40,9","15529","37989","","","","Wähler/innen bei der Europawahl","alle Wahlberechtigte","","","","2004","Stadtbezirk","4","04 Schwabing West"
"Wahlen","Wahlbeteiligung","Europawahl","40,1","10887","27132","","","","Wähler/innen bei der Europawahl","alle Wahlberechtigte","","","","2004","Stadtbezirk","2","02 Ludwigsvorstadt - Isarvorstadt"
"Wahlen","Wahlbeteiligung","Europawahl","40,5","11802","29112","","","","Wähler/innen bei der Europawahl","alle Wahlberechtigte","","","","2004","Stadtbezirk","20","20 Hadern"
"Wahlen","Wahlbeteiligung","Europawahl","43,1","5372","12464","","","","Wähler/innen bei der Europawahl","alle Wahlberechtigte","","","","2004","Stadtbezirk","1","01 Altstadt - Lehel"
"Wahlen","Wahlbeteiligung","Europawahl","37,9","12885","34008","","","","Wähler/innen bei der Europawahl","alle Wahlberechtigte","","","","2004","Stadtbezirk","25","25 Laim"
"Wahlen","Wahlbeteiligung","Europawahl","37","9440","25487","","","","Wähler/innen bei der Europawahl","alle Wahlberechtigte","","","","2004","Stadtbezirk","22","22 Aubing - Lochhausen - Langwied"
"Wahlen","Wahlbeteiligung","Europawahl","42,8","18290","42752","","","","Wähler/innen bei der Europawahl","alle Wahlberechtigte","","","","2004","Stadtbezirk","21","21 Pasing - Obermenzing"
"Wahlen","Wahlbeteiligung","Europawahl","36,2","4735","13083","","","","Wähler/innen bei der Europawahl","alle Wahlberechtigte","","","","2004","Stadtbezirk","8","08 Schwanthalerhöhe"
"Wahlen","Wahlbeteiligung","Europawahl","40,9","13376","32717","","","","Wähler/innen bei der Europawahl","alle Wahlberechtigte","","","","2004","Stadtbezirk","18","18 Untergiesing - Harlaching"
"Wahlen","Wahlbeteiligung","Europawahl","36,6","22676","61895","","","","Wähler/innen bei der Europawahl","alle Wahlberechtigte","","","","2004","Stadtbezirk","16","16 Ramersdorf - Perlach"
"Wahlen","Wahlbeteiligung","Europawahl","38,1","12391","32519","","","","Wähler/innen bei der Europawahl","alle Wahlberechtigte","","","","2004","Stadtbezirk","7","07 Sendling - Westpark"
"Wahlen","Wahlbeteiligung","Europawahl","42,1","23107","54880","","","","Wähler/innen bei der Europawahl","alle Wahlberechtigte","","","","2004","Stadtbezirk","19","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln"
"Wahlen","Wahlbeteiligung","Europawahl","40,7","22591","55536","","","","Wähler/innen bei der Europawahl","alle Wahlberechtigte","","","","2004","Stadtbezirk","9","09 Neuhausen - Nymphenburg"
"Wahlen","Wahlbeteiligung","Europawahl","33","10699","32459","","","","Wähler/innen bei der Europawahl","alle Wahlberechtigte","","","","2004","Stadtbezirk","24","24 Feldmoching - Hasenbergl"
"Wahlen","Wahlbeteiligung","Bundestagswahl","78","43545","55813","","","","Wähler/innen bei der Bundestagswahl","alle Wahlberechtigte","","","","2005","Stadtbezirk","9","09 Neuhausen - Nymphenburg"
"Wahlen","Wahlbeteiligung","Bundestagswahl","73,4","9797","13345","","","","Wähler/innen bei der Bundestagswahl","alle Wahlberechtigte","","","","2005","Stadtbezirk","8","08 Schwanthalerhöhe"
"Wahlen","Wahlbeteiligung","Bundestagswahl","75,7","24669","32589","","","","Wähler/innen bei der Bundestagswahl","alle Wahlberechtigte","","","","2005","Stadtbezirk","7","07 Sendling - Westpark"
"Wahlen","Wahlbeteiligung","Bundestagswahl","78,6","30259","38494","","","","Wähler/innen bei der Bundestagswahl","alle Wahlberechtigte","","","","2005","Stadtbezirk","4","04 Schwabing West"
"Wahlen","Wahlbeteiligung","Bundestagswahl","76,1","20807","27354","","","","Wähler/innen bei der Bundestagswahl","alle Wahlberechtigte","","","","2005","Stadtbezirk","2","02 Ludwigsvorstadt - Isarvorstadt"
"Wahlen","Wahlbeteiligung","Bundestagswahl","75,1","25310","33685","","","","Wähler/innen bei der Bundestagswahl","alle Wahlberechtigte","","","","2005","Stadtbezirk","25","25 Laim"
"Wahlen","Wahlbeteiligung","Bundestagswahl","80,1","14960","18680","","","","Wähler/innen bei der Bundestagswahl","alle Wahlberechtigte","","","","2005","Stadtbezirk","23","23 Allach - Untermenzing"
