id,jahr,auslaender,einpersonen,lebenserwartung,dichte,arbeitslosenquote,alter,pkws
1,2002,22.4,65.7,83.56,5784.0,4.1,42.7,381.7
1,2004,22.6,67.0,83.06,5789.0,4.6,42.9,386.8
1,2005,22.9,67.6,81.73,5923.0,5.2,42.7,382.1
1,2006,22.0,66.6,81.64,6001.0,3.7,42.6,380.4
1,2007,22.3,66.3,80.75,6113.0,2.7,42.5,370.9
1,2008,22.5,66.2,80.97,6201.0,2.4,42.4,367.1
1,2009,20.7,65.5,81.34,6018.0,2.8,42.5,379.3
1,2010,21.0,65.6,80.82,6106.0,2.6,42.2,374.9
1,2011,22.1,66.0,80.49,6265.0,2.3,41.9,367.7
2,2002,31.1,66.6,80.56,10010.0,5.6,40.1,291.1
2,2004,29.4,67.9,80.68,9876.0,6.0,40.0,288.4
2,2005,29.5,68.1,79.69,9984.0,7.1,40.0,283.8
2,2006,28.0,66.9,78.79,10391.0,5.4,39.6,271.5
2,2007,27.6,66.4,78.62,10569.0,4.3,39.4,263.8
2,2008,27.4,66.3,78.18,10814.0,3.6,39.2,261.4
2,2009,25.7,65.3,78.46,10552.0,4.1,39.2,272.2
2,2010,25.9,65.4,78.61,10759.0,3.9,39.1,272.2
2,2011,26.2,65.7,79.34,10958.0,3.4,39.0,269.2
3,2002,24.7,69.3,81.91,9681.0,4.6,40.6,320.4
3,2004,24.7,70.7,81.04,9675.0,4.9,40.6,315.5
3,2005,24.7,70.8,80.34,9819.0,5.3,40.4,309.2
3,2006,23.5,69.0,79.42,10716.0,4.4,39.3,284.5
3,2007,23.3,68.3,80.3,11101.0,3.7,39.0,275.0
3,2008,23.1,68.6,81.2,11374.0,3.0,38.7,271.7
3,2009,22.4,67.9,80.83,11312.0,3.3,38.6,278.0
3,2010,22.2,67.7,80.24,11372.0,3.1,38.6,278.5
3,2011,22.9,67.8,78.86,11517.0,2.7,38.6,275.8
4,2002,21.5,63.2,81.98,12439.0,4.2,42.8,345.0
4,2004,21.7,63.6,81.76,12659.0,4.6,42.7,337.9
4,2005,21.6,63.7,82.18,12843.0,5.3,42.6,330.9
4,2006,20.7,62.7,82.46,13649.0,4.7,41.8,315.2
4,2007,20.6,62.2,82.39,14099.0,3.6,41.5,305.8
4,2008,20.2,61.9,82.89,14334.0,3.0,41.4,305.2
4,2009,19.6,61.6,83.05,14217.0,3.5,41.3,312.2
4,2010,19.9,61.5,83.35,14406.0,3.0,41.3,311.8
4,2011,20.2,61.6,83.1,14587.0,2.6,41.2,310.8
5,2002,25.0,61.6,80.6,12323.0,4.9,41.0,298.4
5,2004,24.0,62.7,81.1,12177.0,5.3,41.3,300.6
5,2005,23.5,62.9,81.78,12442.0,6.1,41.0,297.3
5,2006,22.7,61.8,81.77,12888.0,4.8,40.6,285.9
5,2007,22.2,61.4,82.74,13103.0,3.7,40.4,279.0
5,2008,21.9,61.0,82.52,13237.0,3.2,40.4,276.5
5,2009,21.2,60.6,82.65,13174.0,3.7,40.2,279.0
5,2010,21.2,60.2,81.97,13348.0,3.4,40.2,280.3
5,2011,21.7,60.2,82.1,13579.0,3.0,40.1,280.1
6,2002,25.6,58.6,80.88,8912.0,5.0,40.3,333.9
6,2004,25.9,59.1,82.06,9061.0,5.8,40.2,329.1
6,2005,26.2,59.3,81.99,9131.0,7.6,40.2,326.5
6,2006,25.6,58.7,81.81,9431.0,6.3,40.1,317.0
6,2007,25.7,59.0,81.21,9632.0,5.0,40.1,308.2
6,2008,25.4,58.9,81.58,9733.0,4.2,40.0,303.6
6,2009,24.3,58.1,81.35,9676.0,5.0,40.1,310.7
6,2010,24.2,58.6,81.38,9792.0,4.8,40.1,311.9
6,2011,24.8,59.1,81.63,9902.0,4.3,40.2,310.2
7,2002,22.3,54.4,81.89,6200.0,4.6,42.7,367.4
7,2004,22.9,55.5,82.02,6228.0,5.7,42.8,366.1
7,2005,23.2,55.4,82.47,6331.0,7.7,42.7,355.3
7,2006,23.1,54.4,83.6,6514.0,6.6,42.5,347.5
7,2007,22.9,54.3,83.83,6622.0,5.3,42.4,340.7
7,2008,23.0,54.8,83.79,6687.0,4.7,42.4,338.1
7,2009,22.7,54.7,83.6,6678.0,5.5,42.4,343.8
7,2010,23.3,54.7,83.56,6718.0,5.1,42.4,342.4
7,2011,24.2,55.2,83.9,6817.0,4.6,42.3,341.4
8,2002,40.2,59.5,79.6,12114.0,6.1,39.8,271.8
8,2004,38.4,60.6,81.02,12254.0,6.8,39.7,271.0
8,2005,37.8,61.0,80.38,12321.0,8.3,39.8,268.9
